boro,zipcode,businesses,cafe,pawn,debt,cig,total_select_bus,hpdA,hpdB,hpdC,hpdTotal,negativeRodent,positiveRodent,total_crime,violation,misdemeanor,felony,theft,assault,harassment,population,pop_per_sqmile
Bronx,10453,447.0,,,,,,12079.0,36822.0,11188.0,60089.0,7378.0,23460.0,58579.0,7514.0,37011.0,14054.0,5745.0,8058.0,7409.0,76775.0,87970.27
Bronx,10457,470.0,,,,,,11139.0,33267.0,10221.0,54627.0,12093.0,30270.0,67137.0,7683.0,42228.0,17226.0,6928.0,9025.0,7631.0,69048.0,58547.95
Bronx,10460,313.0,,,,,,7043.0,20282.0,6783.0,34108.0,5267.0,15991.0,51550.0,5677.0,31992.0,13881.0,5491.0,6581.0,5527.0,53707.0,33064.79
Bronx,10458,535.0,6.0,15.0,1.0,95.0,117.0,11936.0,34378.0,11569.0,57883.0,10461.0,28913.0,69136.0,7326.0,41794.0,20016.0,9093.0,8358.0,7217.0,77840.0,62296.26
Bronx,10467,604.0,,,,,,10581.0,30801.0,9495.0,50877.0,6484.0,12557.0,64178.0,8656.0,37089.0,18433.0,7209.0,7743.0,8542.0,94342.0,33219.75
Bronx,10468,381.0,3.0,6.0,0.0,55.0,64.0,10593.0,29645.0,9879.0,50117.0,6796.0,14500.0,65622.0,6947.0,40511.0,18164.0,9061.0,7082.0,6814.0,78309.0,70721.85
Bronx,10451,306.0,1.0,5.0,0.0,65.0,71.0,4862.0,14505.0,4187.0,23554.0,2799.0,6784.0,53991.0,6320.0,34883.0,12788.0,7817.0,6172.0,6240.0,40961.0,39106.39
Bronx,10452,488.0,,,,,,10579.0,30709.0,8604.0,49892.0,6070.0,16662.0,61032.0,6012.0,39575.0,15445.0,7131.0,7285.0,5915.0,72138.0,74380.42
Bronx,10456,471.0,,,,,,10230.0,30545.0,9401.0,50176.0,9191.0,21101.0,75592.0,8994.0,48331.0,18267.0,6682.0,9876.0,8926.0,76656.0,70924.4
Bronx,10454,224.0,,,,,,2849.0,8220.0,2821.0,13890.0,1660.0,5311.0,38686.0,5248.0,24396.0,9042.0,3719.0,4774.0,5138.0,34976.0,33618.5
Bronx,10455,319.0,,,,,,3488.0,10595.0,3428.0,17511.0,2245.0,6190.0,51135.0,6523.0,31505.0,13107.0,8264.0,5673.0,6382.0,37465.0,50333.01
Bronx,10459,336.0,,,,,,5457.0,16600.0,5556.0,27613.0,4391.0,11730.0,48339.0,6623.0,28627.0,13089.0,5931.0,6215.0,6509.0,39080.0,46368.65
Bronx,10474,157.0,,,,,,1468.0,4592.0,1410.0,7470.0,1284.0,3710.0,25460.0,2889.0,14453.0,8118.0,2629.0,2665.0,2834.0,11354.0,7487.55
Bronx,10463,345.0,6.0,3.0,1.0,49.0,59.0,4071.0,11432.0,3480.0,18983.0,1864.0,4317.0,24854.0,3421.0,14213.0,7220.0,4421.0,2193.0,3394.0,65576.0,38449.34
Bronx,10471,105.0,,,,,,262.0,650.0,161.0,1073.0,227.0,202.0,9591.0,1110.0,5594.0,2887.0,1926.0,655.0,1095.0,23413.0,8057.39
Bronx,10466,364.0,,,,,,4185.0,12826.0,4787.0,21798.0,1949.0,956.0,41192.0,5429.0,23844.0,11919.0,3858.0,5144.0,5351.0,68787.0,33497.36
Bronx,10469,504.0,,,,,,1530.0,4793.0,1979.0,8302.0,2039.0,1230.0,31148.0,4224.0,18062.0,8862.0,4263.0,3174.0,4165.0,63345.0,24026.94
Bronx,10470,117.0,,,,,,1289.0,3572.0,1456.0,6317.0,432.0,189.0,9846.0,1031.0,5612.0,3203.0,1036.0,934.0,984.0,15780.0,18653.9
Bronx,10475,184.0,,,,,,196.0,421.0,81.0,698.0,150.0,106.0,19580.0,2381.0,12080.0,5119.0,5715.0,1468.0,2350.0,38086.0,27132.6
Bronx,10461,493.0,4.0,2.0,0.0,84.0,90.0,1863.0,4427.0,1349.0,7639.0,782.0,846.0,32704.0,4932.0,18487.0,9285.0,5448.0,2749.0,4893.0,49808.0,21734.34
Bronx,10462,559.0,2.0,7.0,1.0,81.0,91.0,3652.0,10130.0,2904.0,16686.0,2141.0,3599.0,43141.0,5580.0,25671.0,11890.0,6433.0,4385.0,5512.0,72077.0,48907.02
Bronx,10464,46.0,1.0,0.0,0.0,4.0,5.0,84.0,165.0,61.0,310.0,349.0,356.0,,,,,,,,,
Bronx,10465,270.0,2.0,0.0,0.0,24.0,26.0,248.0,792.0,238.0,1278.0,610.0,700.0,19213.0,3233.0,11341.0,4639.0,2534.0,1773.0,3180.0,42500.0,11299.91
Bronx,10472,439.0,,,,,,6610.0,20119.0,6491.0,33220.0,4648.0,14518.0,46291.0,5514.0,29646.0,11131.0,4136.0,6360.0,5373.0,64867.0,57252.59
Bronx,10473,238.0,,,,,,953.0,2732.0,868.0,4553.0,1322.0,3137.0,48675.0,6306.0,31305.0,11064.0,6752.0,5780.0,6184.0,56166.0,26210.61
Brooklyn,11212,459.0,,,,,,7661.0,25569.0,8059.0,41289.0,1600.0,1784.0,84625.0,11244.0,47014.0,26367.0,8492.0,12025.0,10889.0,85161.0,55655.62
Brooklyn,11213,316.0,,,,,,7147.0,24015.0,7792.0,38954.0,2694.0,8413.0,50142.0,6446.0,28360.0,15336.0,5941.0,6155.0,6291.0,65440.0,61712.16
Brooklyn,11216,342.0,3.0,3.0,1.0,70.0,77.0,6431.0,20079.0,6866.0,33376.0,4769.0,7751.0,50632.0,6703.0,27481.0,16448.0,6499.0,6249.0,6614.0,55775.0,57545.77
Brooklyn,11233,291.0,,,,,,7838.0,25626.0,9334.0,42798.0,3291.0,3080.0,67511.0,8822.0,37441.0,21248.0,6041.0,8821.0,8611.0,61955.0,46112.06
