	87
000	5
00000	2
00623	1
00637	1
00802	1
00850	1
01010	1
01012	1
01014	1
01230	1
01258	1
01266	1
01300	1
01520	2
01581	1
01610	1
01702	1
01757	1
01810	1
01833	1
01840	1
01845	1
01852	1
01921	1
01923	2
02061	1
02062	1
02081	1
02090	1
02116	3
02118	4
02130	1
02150	1
02184	1
02210	1
02346	1
02451	1
02464	1
02492	1
02536	1
02852	1
02865	1
02888	1
02914	1
03054	1
03060	1
03077	1
03079	1
03087	1
03101	1
03103	1
03110	1
03801	2
03818	1
03820	1
03861	1
03894	1
04103	1
04401	1
05346	1
05765	1
06010	1
06019	2
06040	1
06066	1
06067	3
06073	1
06103	1
06108	3
06109	1
06254	1
06282	1
06371	1
06385	2
06390	1
06404	1
06416	1
06418	2
06450	2
06451	1
06460	3
06461	2
06468	3
06470	1
06473	1
06482	2
06484	3
06511	1
06513	1
06514	1
06518	1
06604	7
06606	5
06607	2
06610	2
06611	3
06612	2
06614	4
06702	1
06704	1
06716	1
06763	1
06770	1
06776	6
06784	4
06798	2
06801	1
06804	5
06807	6
06810	3
06811	4
06812	2
06820	4
06824	4
06830	13
06831	6
06840	12
06850	2
06851	5
06854	3
06855	1
06870	3
06877	6
06878	2
06880	3
06890	4
06896	3
06897	5
06901	4
06902	13
06903	8
06905	7
06906	1
06907	1
07001	3
07002	20
07003	8
07004	41
07005	7
07006	3
07008	4
07009	1
07010	19
07011	15
07012	7
07013	7
07014	1
07016	20
07017	8
07018	4
07020	9
07022	5
07023	3
07024	23
07026	3
07027	1
07028	2
07029	3
07030	9
07031	8
07032	4
07033	5
07034	1
07035	1
07036	14
07039	9
07040	5
07041	2
07042	5
07043	4
07044	4
07045	2
07047	22
07050	6
07052	5
07054	2
07055	11
07057	4
07058	2
07059	3
07060	5
07063	2
07065	3
07066	6
07067	5
07068	1
07069	3
07070	10
07071	8
07072	6
07073	6
07075	3
07076	7
07081	2
07082	4
07083	16
07086	4
07087	35
07088	1
07090	7
07092	1
07093	28
07094	13
07095	3
07101	1
07102	7
07103	11
07104	6
07105	5
07106	4
07107	3
07108	7
07109	8
07110	7
07111	22
07112	5
07114	6
07201	2
07202	4
07203	1
07204	2
07205	2
07206	2
07208	5
07301	1
07302	22
07303	2
07304	12
07305	10
07306	27
07307	11
07310	3
07401	6
07405	6
07407	5
07410	19
07417	1
07421	4
07423	2
07424	7
07430	7
07436	1
07438	1
07440	1
07442	3
07444	1
07446	6
07450	8
07452	2
07456	4
07457	1
07458	6
07460	2
07461	2
07463	1
07470	17
07480	1
07481	7
07503	5
07504	3
07505	1
07506	8
07508	3
07512	1
07601	24
07603	11
07604	2
07605	6
07606	1
07607	6
07620	2
07621	11
07624	7
07626	6
07627	2
07628	7
07630	2
07631	31
07632	18
07640	4
07641	1
07643	3
07644	8
07645	4
07646	6
07647	4
07648	4
07649	8
07650	7
07652	24
07656	2
07657	2
07660	9
07661	8
07662	2
07663	3
07666	28
07670	8
07675	9
07676	2
07677	7
07701	5
07704	4
07711	1
07712	6
07716	2
07718	2
07719	5
07720	1
07721	4
07722	15
07724	6
07726	36
07727	27
07728	26
07730	10
07731	16
07733	7
07734	9
07735	11
07737	1
07738	4
07739	1
07740	1
07746	15
07747	18
07748	10
07751	20
07753	2
07757	1
07758	1
07760	4
07762	1
07764	1
07801	1
07825	1
07827	1
07830	3
07834	3
07836	2
07838	2
07840	5
07843	2
07848	1
07853	1
07856	2
07866	5
07869	3
07871	8
07901	3
07920	3
07921	1
07926	1
07927	1
07928	1
07932	1
07933	2
07936	2
07945	1
07950	1
07960	4
07981	4
08002	2
08003	3
08005	1
08007	1
08015	1
08021	1
08026	2
08033	2
08034	1
08035	1
08043	2
08046	3
08050	1
08052	1
08053	3
08054	8
08057	2
08060	4
08066	1
08083	1
08086	1
08088	2
08094	1
08104	2
08204	3
08234	1
08310	1
08330	1
08332	1
08502	1
08510	4
08512	3
08514	2
08520	2
08527	6
08530	1
08533	1
08534	2
08535	3
08540	1
08550	1
08551	2
08618	2
08619	1
08629	4
08648	1
08690	2
08691	1
08701	18
08721	1
08723	6
08724	5
08730	3
08733	1
08734	1
08736	6
08739	1
08742	1
08753	4
08755	4
08757	1
08759	5
08801	2
08802	1
08805	1
08807	1
08812	4
08816	14
08817	7
08820	2
08822	1
08823	1
08824	1
08827	1
08829	1
08830	1
08831	9
08832	1
08833	4
08837	8
08840	4
08844	5
08846	2
08852	5
08853	2
08854	8
08857	19
08859	15
08861	7
08863	3
08865	1
08872	5
08873	6
08876	3
08879	14
08880	1
08882	3
08884	2
08886	1
08889	2
08901	1
08902	5
10001	592
10002	561
10003	521
10004	88
10005	70
10006	33
10007	134
10008	3
10009	294
10010	308
10011	477
10012	249
10013	469
10014	325
10016	466
10017	300
10018	352
10019	546
10020	71
10021	337
10022	463
10023	311
10024	352
10025	419
10026	270
10027	361
10028	305
10029	450
10030	175
10031	318
10032	269
10033	290
10034	223
10035	239
10036	752
10037	87
10038	189
10039	134
10040	184
10041	2
10044	17
10055	1
10065	247
10069	17
10075	212
10080	1
10101	7
10103	5
10105	3
10106	4
10107	5
10108	5
10111	2
10112	8
10116	14
10118	7
10119	12
10120	4
10121	1
10122	1
10123	8
10128	336
10129	1
10150	4
10151	1
10152	2
10153	5
10154	2
10155	12
10156	4
10158	1
10159	2
10162	5
10163	7
10165	5
10166	6
10167	1
10168	7
10169	1
10170	8
10171	3
10172	2
10173	2
10174	2
10175	2
10176	1
10178	2
10185	3
10271	2
10276	2
10279	7
10280	31
10281	3
10282	20
10301	338
10302	262
10303	250
10304	348
10305	512
10306	584
10307	166
10308	211
10309	400
10310	328
10311	1
10312	518
10313	2
10314	837
10451	306
10452	488
10453	447
10454	224
10455	319
10456	471
10457	470
10458	535
10459	336
10460	313
10461	493
10462	559
10463	345
10464	46
10465	270
10466	364
10467	604
10468	381
10469	504
10470	117
10471	105
10472	439
10473	238
10474	157
10475	184
10501	4
10502	7
10504	22
10505	1
10506	13
10507	7
10509	15
10510	13
10511	1
10512	27
10514	11
10516	10
10517	2
10520	13
10522	18
10523	26
10524	2
10526	2
10528	27
10530	22
10532	11
10533	8
10535	1
10536	13
10537	4
10538	17
10540	1
10541	61
10542	1
10543	30
10546	2
10547	9
10548	6
10549	15
10550	112
10551	1
10552	40
10553	17
10560	5
10562	22
10566	18
10567	19
10570	22
10573	45
10576	8
10577	1
10579	20
10580	14
10583	72
10587	1
10588	2
10589	10
10590	7
10591	16
10594	12
10595	15
10596	1
10598	46
10601	14
10602	1
10603	24
10604	19
10605	12
10606	12
10607	18
10701	112
10702	1
10703	40
10704	215
10705	84
10706	15
10707	37
10708	46
10709	25
10710	76
10725	1
10801	100
10802	1
10803	35
10804	29
10805	36
10901	20
10913	18
10914	2
10916	8
10917	2
10918	5
10920	15
10921	1
10922	2
10923	1
10924	5
10925	3
10926	3
10928	2
10930	6
10940	16
10941	7
10949	1
10950	23
10952	17
10954	23
10956	41
10958	3
10960	8
10962	6
10963	1
10964	1
10965	51
10968	3
10969	4
10970	5
10973	1
10974	3
10976	1
10977	25
10980	10
10983	5
10986	3
10987	4
10989	11
10990	14
10992	2
10993	1
10994	7
1100	1
11001	126
11002	1
11003	131
11004	101
11005	5
1101	2
11010	92
11020	23
11021	57
11023	24
11024	4
11030	48
11040	239
11042	5
11050	53
11096	45
11101	518
11102	306
11103	429
11104	220
11105	361
11106	320
11109	14
11201	421
11202	9
11203	459
11204	588
11205	222
11206	369
11207	603
11208	604
11209	577
11210	350
11211	432
11212	459
11213	316
11214	874
11215	498
11216	342
11217	271
11218	847
11219	568
11220	783
11221	427
11222	369
11223	664
11224	316
11225	255
11226	607
11228	345
11229	643
11230	622
11231	293
11232	314
11233	291
11234	738
11235	723
11236	487
11237	359
11238	322
11239	52
11241	3
11242	12
11247	3
11249	105
11252	1
11350	1
11352	1
11354	573
11355	492
11356	270
11357	415
11358	360
11359	2
11360	108
11361	240
11362	123
11363	46
11364	210
11365	235
11366	142
11367	210
11368	756
11369	202
11370	150
11371	9
11372	615
11373	546
11374	281
11375	422
11377	660
11378	469
11379	338
11385	952
11386	3
11410	1
11411	96
11412	188
11413	209
11414	255
11415	123
11416	260
11417	301
11418	454
11419	662
11420	490
11421	313
11422	153
11423	252
11424	1
11426	173
11427	140
11428	179
11429	187
11430	36
11431	7
11432	554
11433	251
11434	368
11435	482
11436	137
11439	1
11501	98
11507	41
11509	15
11510	65
11514	9
11516	32
11518	22
11520	105
11530	71
11542	53
11545	24
11547	4
11548	6
11550	83
11552	63
11553	37
11554	78
11556	1
11557	19
11558	50
11559	25
11560	20
11561	64
11563	57
11565	21
11566	55
11568	6
11570	45
11572	92
11575	22
11576	23
11577	38
11579	14
11580	193
