-1	1078404
1	2
1*9138	1
1000	3
10000	893
100000	3
1000000	1
10001	66606
10002	112647
10003	107021
100038	1
10004	12413
10005	13602
10006	7563
10007	20743
10008	5
10008-3772	1
10008-378	1
10009	93661
10010	45629
10010-3672	1
10011	90239
10012	60520
10013	71569
10014	69913
10015	1
10016	84614
10017	39358
10018	34170
10019	99640
10020	2151
10021	49592
10022	59987
10023	76411
10023-0007	1
10023-6349	1
10024	75091
10025	120587
10026	69745
10027	114039
10028	53737
10029	103969
1003	2
10030	66352
10031	165255
10032	152935
10033	117405
10033-0238	1
10034	111259
10035	64982
100354	1
10036	78286
10037	33233
10038	32288
10039	45763
10039-0188	1
10039-0841	1
10040	129888
10041	130
10044	2212
10045	8
10048	291
10050	1
10050-4295	1
10055	3
10063	1
10065	39960
10067	1
10069	2635
100701	1
10075	27474
1008	1
1008-7162	1
10087-0001	1
10096	2
10101	7
10101-2135	1
10103	133
10104	8
10105	17
10106	19
10107	46
10108	3
10110	29
10111	96
10112	239
10115	14
10116	11
10116-0313	1
10118	62
10119	346
10120	14
10121	81
10122	13
10123	44
10128	59552
10129	151
10134	1
10138	1
10150	6
10151	7
10152	8
10153	97
10154	37
10155	10
10158	15
10159	4
10159-1323	1
10162	254
10163	7
10163-4668	3
10165	23
10166	3
10167	18
10168	35
10169	48
10170	13
10171	2
10172	24
10173	13
10174	18
10176	9
10177	13
10178	10
10179	5
10185	1
10224	1
10259	1
10271	23
10272-0992	1
10276	4
10278	53
10279	31
10280	3606
10281	777
10282	2016
10285	1
10301	77335
10302	35742
10303	40728
10304	72281
10305	61277
10306	88262
10307	16964
10308	38732
10309	43740
10310	43486
10312	81100
10313	1
103132	1
10314	112714
10318	1
10333	1
10352	1
10367	1
10400	1
10402	1
10412	1
10423-0935	1
10427	1
10432	1
10435	1
10444	1
10450	1
10451	85689
10452	173363
10453	188402
10454	54974
10455	71523
10456	164358
10457	172515
10458	200729
10459	97188
1046	1
1046-0232	1
10460	124585
10461	93207
10462	131607
10463	126102
10464	13978
10465	58879
10466	125915
10467	230184
10468	184134
10468-0232	1
10469	102033
10470	35396
10471	27300
10472	139642
10473	65701
10474	36655
10475	20256
10501	2
10502	8
10504	3
10505	1
10506	4
10507	1
10509	2
10510	2
10512	4
10514	3
10520	3
10522	6
10523	27
10523-0935	2
10526	1
10528	5
10530	9
10532	14
10532-1533	1
10533	6
10536	7
10538	7
10541	2
10543	12
105457	1
10546	1
10547	2
10548	1
10549	3
10550	41
10550-1202	1
10552	19
10553	11
10560	1
10561	1
10562	7
10566	9
10567	2
10568	1
10570	2
10572	1
10573	30
10576	2
10577	5
10577-0800	1
10577-0900	3
10580	6
10583	36
10589	5
10591	30
10594	10
10594-0209	4
10595	4
10598	2
10601	31
10602	3
10602-5055	2
10603	14
10604	9
10604-1205	1
10605	7
10605-1303	1
10606	6
10610	1
1062	1
1065	1
1066	1
10701	48
10703	8
10704	45
10705	33
10706	3
10707	3
10708	22
10709	1
10710	26
1074	1
10801	49
10801-6393	2
10803	178
10804	18
10805	16
10850	1
10901	1
10913	1
10916	1
10917	1
10920	1
10921	1
10923	1
10924	1
10925	2
10926	1
10929	1
10930	1
10940	5
10941	1
10950	1
10951	1
10952	3
10954	6
10956	2
10960	6
10962	3
10964	2
10965	3
10968	1
10970	3
10977	9
10980	2
10983	1
10984	1
10987	1
10989	2
10990	2
10994	2
11	2
11000	1
110001	1
11001	4884
11001-2024	5
11002	1
11003	87
11003-4033	1
11004	16381
11005	705
11008	1
1101	2
11010	30
11011	3
11012	2
11020	15
11021	68
11023	7
11024	8
11024-1019	1
11027	1
1103	1
11030	37
11030-3409	1
11030-3411	1
11031	1
11037	1
1104	1
11040	3592
11040-4204	1
11040-4609	1
11042	29
1105	1
11050	24
11050-4341	1
11054	2
1106	1
11064	1
11096	19
11096-0612	2
11101	85672
11101-2011	1
11101-6122	1
11102	48753
11103	59658
11104	41145
11105	55433
11106	58144
11109	1497
11111	29
111111	2
11112	1
11122	1
11137	1
11140	1
111694	1
1120	1
11201	92272
11202	6
11202-0922	1
11203	148465
11204	98477
11205	73054
11206	119351
11207	199462
11208	170927
11209	111432
11210	113506
11211	128919
11212	151671
11212-5368	2
11213	160488
11214	114545
11215	110336
11215-0389	1
11216	152841
11217	78644
11218	114116
11219	98773
11219-0283	1
1122	1
11220	127001
11221	180986
11222	74423
11223	101206
11224	47373
11225	153205
11226	269855
11228	49949
11229	113038
1123	1
11230	142805
11231	57373
11232	52926
11233	159265
11234	130751
11235	131664
11236	117428
11237	114175
11238	129795
11239	6693
11241	68
11242	48
11243	38
11244	1
11247	1
11249	37380
11251	29
11253	1
1130	2
11317	1
11321	1
11324	1
11341	1
11343	1
11345	1
11350	1
11352	3
11354	69781
11354-3254	1
11355	87219
11356	39127
11357	53506
11358	54692
11359	109
11360	17801
11361	40560
