	4848026
1010 EAST 178TH STREET	1
1162-1176 WASHINGTON AVENUE	318
131 SAINT NICHOLAS AVENUE	232
1471 WATSON AVENUE	224
303 VERNON AVENUE	646
33-35 SARATOGA AVENUE	365
344 EAST 28TH STREET	1
45 ALLEN STREET	111
572 WARREN STREET	342
830 AMSTERDAM AVENUE	432
ADAMS	1930
ALBANY	2004
ALBANY II	1065
AMSTERDAM	1095
ARMSTRONG I	1395
ARMSTRONG II	1538
ASTORIA	1564
ATLANTIC TERMINAL SITE 4B	657
AUDUBON	362
BAILEY AVENUE-WEST 193RD STREET	484
BAISLEY PARK	337
BARUCH	3147
BARUCH HOUSES ADDITION	120
BAY VIEW	1852
BAYCHESTER	31
BAYSIDE-OCEAN BAY APTS	1256
BEACH 41ST STREET-BEACH CHANNEL DRIVE	523
BEDFORD-STUYVESANT REHAB	191
BELMONT-SUTTER AREA	231
BERRY	789
BERRY STREET-SOUTH 9TH STREET	147
BETANCES I	615
BETANCES III	55
BETANCES VI	17
BETHUNE GARDENS	86
BLAND	594
BORINQUEN PLAZA I	1603
BORINQUEN PLAZA II	1305
BOSTON ROAD PLAZA	92
BOSTON SECOR	1208
BOULEVARD	2821
BOYNTON AVENUE REHAB	257
BREUKELEN	662
BREVOORT	1938
BRONX RIVER	1904
BRONX RIVER ADDITION	99
BRONXCHESTER	1
BRONXDALE	3485
BROWN	12
BROWNSVILLE	3579
BRYANT AVENUE-EAST 174TH STREET	83
BUSHWICK	3052
BUSHWICK II (GROUPS A & C)	537
BUSHWICK II (GROUPS B & D)	579
BUSHWICK II CDA (GROUP E)	307
BUTLER	3960
CAMPOS PLAZA I	311
CAREY GARDENS	11
CARLETON MANOR	402
CARVER	503
CASSIDY-LAFAYETTE	134
CASTLE HILL	5495
CLAREMONT PARKWAY-FRANKLIN AVENUE	187
CLAREMONT REHAB (GROUP 2)	494
CLAREMONT REHAB (GROUP 3)	219
CLAREMONT REHAB (GROUP 4)	357
CLAREMONT REHAB (GROUP 5)	400
CLASON POINT GARDENS	943
CLINTON	2100
COLLEGE AVENUE-EAST 165TH STREET	125
CONEY ISLAND	716
CONEY ISLAND I (SITE 1B)	848
COOPER PARK	1473
CROWN HEIGHTS	209
CYPRESS HILLS	2998
DAVIDSON	673
DE HOSTOS APARTMENTS	11
DOUGLASS	3749
DOUGLASS ADDITION	500
DYCKMAN	599
EAGLE AVENUE-EAST 163RD STREET	251
EAST 165TH STREET-BRYANT AVENUE	111
EAST 173RD STREET-VYSE AVENUE	459
EAST 180TH STREET-MONTEREY AVENUE	271
EAST NEW YORK CITY LINE	217
EASTCHESTER GARDENS	1580
EDENWALD	752
FARRAGUT	3673
FENIMORE-LEFFERTS	102
FIORENTINO PLAZA	763
FIRST HOUSES	32
FOREST	1094
FOREST HILLS COOP (108TH STREET-62ND DRIVE)	1
FORT INDEPENDENCE STREET-HEATH AVENUE	853
FORT WASHINGTON AVENUE REHAB	116
FRANKLIN AVENUE I CONVENTIONAL	69
FRANKLIN AVENUE I MHOP	28
FRANKLIN AVENUE II CONVENTIONAL	64
FRANKLIN AVENUE II MHOP	2
FRANKLIN AVENUE III CONVENTIONAL	22
FRANKLIN AVENUE III MHOP	1
FULTON	2
GARVEY (GROUP A)	1007
GLEBE AVENUE-WESTCHESTER AVENUE	89
GLENMORE PLAZA	20
GLENWOOD	1568
GOMPERS	1093
GOWANUS	2158
GRAMPION	162
GRANT	3886
GRAVESEND	253
GUN HILL	810
HABER	5
HAMMEL	1276
HARLEM RIVER	241
HARRISON AVENUE REHAB (GROUP A)	39
HARRISON AVENUE REHAB (GROUP B)	223
HERNANDEZ	219
HIGHBRIDGE GARDENS	1459
HIGHBRIDGE REHABS (ANDERSON AVENUE)	241
HIGHBRIDGE REHABS (NELSON AVENUE)	211
HOE AVENUE-EAST 173RD STREET	132
HOPE GARDENS	429
HOWARD	1655
HOWARD AVENUE	426
HOWARD AVENUE-PARK PLACE	420
HUGHES APARTMENTS	1727
HYLAN	444
INDEPENDENCE	805
INGERSOLL	2947
JACKSON	1416
JEFFERSON	1
JENNINGS STREET	44
JOHNSON	2476
KING TOWERS	775
KINGSBOROUGH 73	2
KINGSBOROUGH 77	41
LA GUARDIA	1985
LA GUARDIA ADDITION	41
LAFAYETTE	1544
LATIMER GARDENS	277
LAVANBURG HOMES	299
LEHMAN	750
LENOX ROAD-ROCKAWAY PARKWAY	135
LEXINGTON	281
LINCOLN	3980
LINDEN	3718
LONG ISLAND BAPTIST HOUSES	946
LONGFELLOW AVENUE REHAB	228
LOW HOUSES	1782
LOWER EAST SIDE I INFILL	245
LOWER EAST SIDE II	22
LOWER EAST SIDE REHAB (GROUP 5)	102
MACOMBS ROAD	84
MANHATTANVILLE	2664
MANHATTANVILLE REHAB (GROUP 2)	22
MARBLE HILL	1579
MARCY	4298
MARCY AVENUE-GREENE AVENUE SITE A	126
MARCY AVENUE-GREENE AVENUE SITE B	111
MARINER'S HARBOR	1573
MARKHAM GARDENS	486
MARLBORO	1411
MARSHALL PLAZA	61
MCKINLEY	428
MELROSE	938
METRO NORTH REHAB	2
MIDDLETOWN PLAZA	32
MILBANK-FRAWLEY	185
MILL BROOK	1042
MILL BROOK EXTENSION	457
MITCHEL	2710
MONROE	2912
MOORE	921
MORRIS HEIGHTS REHAB	150
MORRIS I	1677
MORRIS II	1517
MORRISANIA	378
MORRISANIA AIR RIGHTS 42	310
MOTT HAVEN	601
MURPHY	839
NEW LANE AREA	43
NOSTRAND	2093
O'DWYER GARDENS	55
OCEAN HILL APARTMENTS	237
OCEAN HILL-BROWNSVILLE	465
OCEANSIDE-OCEAN BAY APTS	79
PALMETTO GARDENS	30
PARK ROCK REHAB	339
PARKSIDE	1434
PATTERSON	1459
PELHAM PARKWAY	1998
PENNSYLVANIA AVENUE-WORTMAN AVENUE	915
PINK	3640
POMONOK	3131
PROSPECT PLAZA	22
QUEENSBRIDGE NORTH	745
QUEENSBRIDGE SOUTH	798
RALPH AVENUE REHAB	307
RANDALL AVENUE-BALCOM AVENUE	111
RANGEL	1978
RED HOOK EAST	2261
RED HOOK WEST	2967
REDFERN	1294
REID APARTMENTS	77
RICHMOND TERRACE	1562
RIIS	1309
RIIS II	797
ROBINSON	8
ROOSEVELT I	753
ROOSEVELT II	795
RUTGERS	1022
RUTLAND TOWERS	108
SACK WERN	954
SAINT MARY'S PARK	1973
SAMUEL (CITY)	129
SARATOGA SQUARE	137
SEDGWICK	257
SEWARD PARK EXTENSION	966
SHEEPSHEAD BAY	2247
SMITH	2758
SOUNDVIEW	3368
SOUTH BEACH	1109
SOUTH BRONX AREA (SITE 402)	281
SOUTHERN BOULEVARD	100
STAPLETON	2237
STEBBINS AVENUE-HEWITT PLACE	145
STERLING PLACE REHAB (SAINT JOHNS-STERLING)	309
STERLING PLACE REHAB (STERLING-BUFFALO)	430
STUYVESANT GARDENS I	996
SUMNER	2292
SUTTER AVENUE-UNION STREET	231
TAFT	1596
TAFT REHABS (REHAB PROGRAM)	9
TAPSCOTT STREET REHAB	383
TAYLOR STREET-WYTHE AVENUE	494
TELLER AVENUE-EAST 166TH STREET	280
THROGGS NECK	3142
THROGGS NECK ADDITION	667
TILDEN	2909
TODT HILL	842
TOMPKINS	3072
TWIN PARKS EAST (SITE 9)	102
TWIN PARKS WEST (SITE 1 & 2)	380
TWO BRIDGES URA (SITE 7)	248
UNION AVENUE-EAST 163RD STREET	132
UNION AVENUE-EAST 166TH STREET	276
UNITY PLAZA (SITES 17,24,25A)	646
UNITY PLAZA (SITES 4-27)	1416
UNIVERSITY AVENUE REHAB	505
UPACA (SITE 5)	123
UPACA (SITE 6)	113
VAN DYKE I	4585
VAN DYKE II	68
VANDALIA AVENUE	91
VLADECK	1595
VLADECK II	285
WAGNER	1409
WALD	1890
WASHINGTON HEIGHTS REHAB (GROUPS 1&2)	5
WASHINGTON HEIGHTS REHAB PHASE III	22
WEBSTER	1270
WEEKSVILLE GARDENS	941
WEST BRIGHTON I	1847
WEST BRIGHTON II	99
WEST FARMS ROAD REHAB	247
WEST TREMONT AVENUE-SEDGWICK AVENUE AREA	90
WEST TREMONT REHAB (GROUP 1)	57
WEST TREMONT REHAB (GROUP 2)	64
WEST TREMONT REHAB (GROUP 3)	136
WHITMAN	2980
WILLIAMS PLAZA	633
WILLIAMSBURG	2593
WOODSIDE	834
WOODSON	229
WSUR (SITE B) 74 WEST 92ND STREET	11
WSUR (SITE C) 589 AMSTERDAM AVENUE	619
WYCKOFF GARDENS	809
