boro,zipcode,businesses,cafe,pawn,debt,cig,total_select_bus,hpdA,hpdB,hpdC,hpdTotal,negativeRodent,positiveRodent,total,violation,misdemeanor,felony,population,pop_per_sq_mile
Bronx,10453,447,,,,,,12079,36822,11188,60089,7378,23460,58579,7514,37011,14054,76775,87970.27
Bronx,10457,470,,,,,,11139,33267,10221,54627,12093,30270,67137,7683,42228,17226,69048,58547.95
Bronx,10460,313,,,,,,7043,20282,6783,34108,5267,15991,51550,5677,31992,13881,53707,33064.79
Bronx,10458,535,6,15,1,95,117,11936,34378,11569,57883,10461,28913,69136,7326,41794,20016,77840,62296.26
Bronx,10467,604,,,,,,10581,30801,9495,50877,6484,12557,64178,8656,37089,18433,94342,33219.75
Bronx,10468,381,3,6,0,55,64,10593,29645,9879,50117,6796,14500,65622,6947,40511,18164,78309,70721.85
Bronx,10451,306,1,5,0,65,71,4862,14505,4187,23554,2799,6784,53991,6320,34883,12788,40961,39106.39
Bronx,10452,488,,,,,,10579,30709,8604,49892,6070,16662,61032,6012,39575,15445,72138,74380.42
Bronx,10456,471,,,,,,10230,30545,9401,50176,9191,21101,75592,8994,48331,18267,76656,70924.4
Bronx,10454,224,,,,,,2849,8220,2821,13890,1660,5311,38686,5248,24396,9042,34976,33618.5
Bronx,10455,319,,,,,,3488,10595,3428,17511,2245,6190,51135,6523,31505,13107,37465,50333.01
Bronx,10459,336,,,,,,5457,16600,5556,27613,4391,11730,48339,6623,28627,13089,39080,46368.65
Bronx,10474,157,,,,,,1468,4592,1410,7470,1284,3710,25460,2889,14453,8118,11354,7487.55
Bronx,10463,345,6,3,1,49,59,4071,11432,3480,18983,1864,4317,24854,3421,14213,7220,65576,38449.34
Bronx,10471,105,,,,,,262,650,161,1073,227,202,9591,1110,5594,2887,23413,8057.39
Bronx,10466,364,,,,,,4185,12826,4787,21798,1949,956,41192,5429,23844,11919,68787,33497.36
Bronx,10469,504,,,,,,1530,4793,1979,8302,2039,1230,31148,4224,18062,8862,63345,24026.94
Bronx,10470,117,,,,,,1289,3572,1456,6317,432,189,9846,1031,5612,3203,15780,18653.9
Bronx,10475,184,,,,,,196,421,81,698,150,106,19580,2381,12080,5119,38086,27132.6
Bronx,10461,493,4,2,0,84,90,1863,4427,1349,7639,782,846,32704,4932,18487,9285,49808,21734.34
Bronx,10462,559,2,7,1,81,91,3652,10130,2904,16686,2141,3599,43141,5580,25671,11890,72077,48907.02
Bronx,10464,46,1,0,0,4,5,84,165,61,310,349,356,,,,,,
Bronx,10465,270,2,0,0,24,26,248,792,238,1278,610,700,19213,3233,11341,4639,42500,11299.91
Bronx,10472,439,,,,,,6610,20119,6491,33220,4648,14518,46291,5514,29646,11131,64867,57252.59
Bronx,10473,238,,,,,,953,2732,868,4553,1322,3137,48675,6306,31305,11064,56166,26210.61
Brooklyn,11212,459,,,,,,7661,25569,8059,41289,1600,1784,84625,11244,47014,26367,85161,55655.62
Brooklyn,11213,316,,,,,,7147,24015,7792,38954,2694,8413,50142,6446,28360,15336,65440,61712.16
Brooklyn,11216,342,3,3,1,70,77,6431,20079,6866,33376,4769,7751,50632,6703,27481,16448,55775,57545.77
Brooklyn,11233,291,,,,,,7838,25626,9334,42798,3291,3080,67511,8822,37441,21248,61955,46112.06
Brooklyn,11238,322,7,0,0,61,68,4169,11752,3403,19324,3299,2730,40217,4760,22407,13050,48965,42063.29
Brooklyn,11209,577,6,2,1,77,86,1887,4969,1321,8177,246,614,29369,4372,17117,7880,69840,31098.42
Brooklyn,11214,874,,,,,,2411,6437,1783,10631,448,1795,35841,4910,20280,10651,83546,38227.99
Brooklyn,11228,345,1,1,1,42,45,294,727,259,1280,145,497,11543,1640,6137,3766,41172,27177.25
Brooklyn,11204,588,1,0,0,67,68,1959,4900,1267,8126,363,640,15262,2221,8287,4754,74880,46953.11
Brooklyn,11218,847,2,0,1,65,68,3535,9931,2992,16458,547,924,23056,2834,12561,7661,74611,51580.19
Brooklyn,11219,568,1,0,1,53,55,2465,5821,1841,10127,437,789,23394,2918,12837,7639,85987,57544.5
Brooklyn,11230,622,1,0,0,46,47,4435,10980,2989,18404,531,829,32588,3522,17450,11616,88933,48088.05
Brooklyn,11234,738,1,1,1,58,61,507,2017,539,3063,649,1105,47223,5954,25781,15488,86898,8846.37
Brooklyn,11236,487,,,,,,1042,5389,1724,8155,1041,1194,51481,8095,26461,16925,96301,27271.95
Brooklyn,11239,52,,,,,,73,214,143,430,11,308,9545,633,6171,2741,14620,19900.74
Brooklyn,11223,664,,,,,,1531,4037,1148,6716,466,962,33992,4573,18517,10902,77691,37104.95
Brooklyn,11224,316,1,2,0,27,30,1705,4166,1208,7079,381,778,31295,4136,17739,9420,51205,35066.79
Brooklyn,11229,643,1,0,2,53,56,1763,5206,1261,8230,479,745,23416,2761,12667,7988,80554,36919.61
Brooklyn,11235,723,7,2,0,60,69,2511,7656,1786,11953,1148,4920,39462,5131,21942,12389,77451,30866.46
Brooklyn,11201,421,15,3,3,67,88,906,2070,539,3515,1291,4589,48356,6257,28302,13797,47746,33114.98
Brooklyn,11205,222,10,0,0,55,65,1393,3720,1134,6247,2644,3113,27329,3067,15111,9151,35622,26893.82
Brooklyn,11215,498,14,0,1,70,85,2462,5764,1515,9741,1679,1386,24067,2846,13055,8166,63001,27309.38
Brooklyn,11217,271,17,1,0,54,72,1138,2715,790,4643,2581,1853,34148,3682,20410,10056,35353,46140.97
Brooklyn,11231,293,12,0,0,40,52,925,2519,634,4078,628,550,21548,2749,12548,6251,32974,22776.82
Brooklyn,11203,459,1,2,0,65,68,4773,16513,5365,26651,1422,1434,48430,6089,25208,17133,84498,38695.54
Brooklyn,11210,350,,,,,,2897,9228,2666,14791,570,876,26116,3035,14026,9055,62308,38833.14
Brooklyn,11225,255,2,0,0,57,59,6951,21622,6393,34966,1723,7181,36114,4876,19906,11332,63774,44803.32
Brooklyn,11226,607,,,,,,12993,40876,12641,66510,2098,2097,66234,8071,35444,22719,106154,81064.34
Brooklyn,11207,603,,,,,,7313,26115,9286,42714,3402,17813,94750,10516,53841,30393,86551,31820.27
Brooklyn,11208,604,,,,,,5235,17980,6875,30090,2147,13361,72308,8042,40782,23484,87165,24992.88
Brooklyn,11211,432,32,1,0,108,141,2881,6857,2266,12004,2833,1509,35472,3416,19144,12912,85089,44840.17
Brooklyn,11222,369,13,1,0,59,73,1494,3329,1037,5860,1455,2061,17625,2071,9577,5977,39360,21724.29
Brooklyn,11220,783,,,,,,4612,11612,4432,20656,458,1095,38937,4863,21935,12139,92718,54760.03
Brooklyn,11232,314,,,,,,1256,3322,1114,5692,375,737,18175,2195,10448,5532,27723,20953.79
Brooklyn,11206,369,2,3,0,73,78,3471,9658,3290,16419,4563,7318,63837,6987,35330,21520,69032,48593.28
Brooklyn,11221,427,1,3,0,98,102,7726,24406,9305,41437,7546,11741,64730,9124,33496,22110,76363,55063.29
Brooklyn,11237,359,5,2,0,80,87,5792,17328,6465,29585,4259,11127,24406,2481,12355,9570,48910,48552.49
Manhattan,10026,270,11,0,0,30,41,3454,8660,2821,14935,1955,7744,31330,4013,18920,8397,30377,91152.04
Manhattan,10027,361,15,3,0,57,75,5535,15229,5537,26301,2960,17683,63233,8012,38288,16933,56168,55006.21
Manhattan,10030,175,2,2,0,22,26,3954,10448,3528,17930,1546,8613,17819,2616,10268,4935,25847,85824.24
Manhattan,10037,87,,,,,,1661,4180,1146,6987,494,2745,16328,1921,10295,4112,16984,65200.97
Manhattan,10039,134,1,0,0,27,28,2464,7064,2376,11904,597,2211,26416,3778,15783,6855,21737,70988.68
Manhattan,10001,592,10,1,5,98,114,591,1272,393,2256,651,4371,54025,4111,29699,20215,17310,26111.88
Manhattan,10011,477,44,1,1,69,115,1946,4241,1366,7553,1323,9580,33067,3136,18026,11905,46669,71113.64
Manhattan,10018,352,1,2,2,74,79,362,889,360,1611,236,2323,20819,1280,11166,8373,4255,14250.83
Manhattan,10019,546,41,1,3,104,149,2107,4543,1421,8071,972,5004,27548,3763,14569,9216,36012,48230.17
Manhattan,10020,71,,,,,,,,,,,39,3967,306,2157,1504,,
Manhattan,10036,752,33,32,2,74,141,1409,3127,1012,5548,847,4752,52484,4547,29306,18631,18751,36429.01
Manhattan,10029,450,3,8,0,80,91,4239,11792,4249,20280,2977,11391,70207,9191,43453,17563,75390,80506.67
Manhattan,10035,239,,,,,,3325,8575,2582,14482,1811,10772,54394,6288,34459,13647,32702,23818.08
Manhattan,10010,308,21,2,1,45,69,495,1020,327,1842,368,2939,19199,1978,9996,7225,26408,70827.7
Manhattan,10016,466,29,0,5,68,102,1498,2902,887,5287,814,6560,28163,2995,14004,11164,51217,93367.31
Manhattan,10017,300,7,5,4,57,73,346,665,121,1132,153,2249,8258,753,4132,3373,16201,49391.49
Manhattan,10022,463,28,3,1,72,104,872,1774,535,3181,550,5166,22758,1725,11798,9235,30642,68953.71
Manhattan,10012,249,60,0,0,38,98,1177,2583,989,4749,1102,5944,32189,1764,19832,10593,26000,80124.51
Manhattan,10013,469,73,0,1,60,134,735,1574,588,2897,1459,8637,28163,2211,17182,8770,25042,45458.99
Manhattan,10014,325,94,0,0,48,142,1452,3205,909,5566,1392,9624,34714,2902,18520,13292,32667,57977.33
Manhattan,10004,88,1,0,3,25,29,2,5,2,9,72,615,5816,681,3302,1833,1225,2162.99
Manhattan,10005,70,,,,,,12,14,4,30,27,390,,,,,884,11701.01
Manhattan,10006,33,1,0,4,8,13,36,64,47,147,88,356,,,,,1447,21409.87
Manhattan,10007,134,4,0,1,38,43,35,38,22,95,259,1461,6702,668,3885,2149,3522,19229.09
Manhattan,10038,189,7,0,1,46,54,144,209,116,469,591,2129,19556,2388,11148,6020,15574,55019.61
Manhattan,10280,31,,,,,,45,81,13,139,36,124,1947,324,980,643,6614,44080.87
Manhattan,10002,561,14,5,0,77,96,2420,5754,2513,10687,3135,13666,52124,5738,31193,15193,84870,91610.4
Manhattan,10003,521,85,0,2,78,165,1881,4250,1391,7522,2026,12229,55283,4390,32604,18289,53673,93255.87
