	1
10003	2
10004	2
10006	1
10007	1
10009	2
10011	2
10014	1
10017	1
10018	1
10019	2
10023	1
10024	1
10025	1
10026	2
10027	2
10028	1
10029	3
10031	2
10032	1
10033	1
10034	2
10035	1
10037	1
10039	1
10128	1
10282	1
10314	1
10451	2
10452	1
10455	1
10456	2
10457	2
10458	1
10463	2
10467	2
10469	1
10470	1
10471	1
10472	1
11101	1
11104	1
11106	2
11201	2
11203	2
11205	1
11206	2
11207	4
11208	1
11209	1
11212	3
11214	1
11215	3
11216	4
11218	1
11219	1
11220	1
11222	1
11225	1
11226	1
11231	1
11233	2
11237	1
11355	1
11367	1
11368	1
11372	1
11373	1
11375	1
11385	1
11432	1
