	188146	9102	117224	61820
10001	54025	4111	29699	20215
10002	52124	5738	31193	15193
10003	55283	4390	32604	18289
10004	5816	681	3302	1833
10007	6702	668	3885	2149
10008	7426	199	5996	1231
10009	28144	3827	16146	8171
10010	19199	1978	9996	7225
10011	33067	3136	18026	11905
10012	32189	1764	19832	10593
10013	28163	2211	17182	8770
10014	34714	2902	18520	13292
10016	28163	2995	14004	11164
10017	8258	753	4132	3373
10018	20819	1280	11166	8373
10019	27548	3763	14569	9216
10020	3967	306	2157	1504
10021	11234	1014	5392	4828
10022	22758	1725	11798	9235
10023	26087	3184	14680	8223
10024	23964	3147	13341	7476
10025	46505	6508	26747	13250
10026	31330	4013	18920	8397
10027	63233	8012	38288	16933
10028	16981	1273	9187	6521
10029	70207	9191	43453	17563
10030	17819	2616	10268	4935
10031	43566	5325	26936	11305
10032	38151	4695	22041	11415
10033	25836	2892	14436	8508
10034	17844	1815	10075	5954
10035	54394	6288	34459	13647
10036	52484	4547	29306	18631
10037	16328	1921	10295	4112
10038	19556	2388	11148	6020
10039	26416	3778	15783	6855
10040	21157	2327	12044	6786
10044	1919	338	990	591
10055	2813	237	1453	1123
10065	14983	1322	7600	6061
10075	2084	157	929	998
10104	2557	79	1416	1062
10105	2063	181	953	929
10106	4204	447	1909	1848
10119	3344	127	2104	1113
10120	4054	141	2970	943
10121	2214	112	1161	941
10123	5160	228	3207	1725
10128	13359	1384	6916	5059
10138	17505	165	13943	3397
10151	1907	98	823	986
10153	2573	198	1558	817
10155	647	60	305	282
10162	1998	238	953	807
10211	2084	136	1257	691
10280	1947	324	980	643
10301	28168	5402	16845	5921
10302	16281	2573	9881	3827
10303	21575	3770	13064	4741
10304	32761	5846	19571	7344
10305	16028	3301	9349	3378
10306	23571	4833	13999	4739
10307	6246	1328	3615	1303
10308	9292	2120	5290	1882
10309	12179	2195	7344	2640
10310	15896	2841	9495	3560
10312	17269	3418	10231	3620
10314	35639	6444	22260	6935
10451	53991	6320	34883	12788
10452	61032	6012	39575	15445
10453	58579	7514	37011	14054
10454	38686	5248	24396	9042
10455	51135	6523	31505	13107
10456	75592	8994	48331	18267
10457	67137	7683	42228	17226
10458	69136	7326	41794	20016
10459	48339	6623	28627	13089
10460	51550	5677	31992	13881
10461	32704	4932	18487	9285
10462	43141	5580	25671	11890
10463	24854	3421	14213	7220
10465	19213	3233	11341	4639
10466	41192	5429	23844	11919
10467	64178	8656	37089	18433
10468	65622	6947	40511	18164
10469	31148	4224	18062	8862
10470	9846	1031	5612	3203
10471	9591	1110	5594	2887
10472	46291	5514	29646	11131
10473	48675	6306	31305	11064
10474	25460	2889	14453	8118
10475	19580	2381	12080	5119
11004	3702	468	1815	1419
11040	1924	282	909	733
11101	31797	4134	17989	9674
11102	15471	2250	8544	4677
11103	14515	1783	8340	4392
11104	6603	1088	3447	2068
11105	13703	1854	7620	4229
11106	21496	2987	11821	6688
11201	48356	6257	28302	13797
11202	4625	485	2789	1351
11203	48430	6089	25208	17133
11204	15262	2221	8287	4754
11205	27329	3067	15111	9151
11206	63837	6987	35330	21520
11207	94750	10516	53841	30393
11208	72308	8042	40782	23484
11209	29369	4372	17117	7880
11210	26116	3035	14026	9055
11211	35472	3416	19144	12912
11212	84625	11244	47014	26367
11213	50142	6446	28360	15336
11214	35841	4910	20280	10651
11215	24067	2846	13055	8166
11216	50632	6703	27481	16448
11217	34148	3682	20410	10056
11218	23056	2834	12561	7661
11219	23394	2918	12837	7639
11220	38937	4863	21935	12139
11221	64730	9124	33496	22110
11222	17625	2071	9577	5977
11223	33992	4573	18517	10902
11224	31295	4136	17739	9420
11225	36114	4876	19906	11332
11226	66234	8071	35444	22719
11228	11543	1640	6137	3766
11229	23416	2761	12667	7988
11230	32588	3522	17450	11616
11231	21548	2749	12548	6251
11232	18175	2195	10448	5532
11233	67511	8822	37441	21248
11234	47223	5954	25781	15488
11235	39462	5131	21942	12389
11236	51481	8095	26461	16925
11237	24406	2481	12355	9570
11238	40217	4760	22407	13050
11239	9545	633	6171	2741
11241	1181	187	581	413
11249	13003	1206	7169	4628
11354	33189	3490	19132	10567
11355	13026	1930	6198	4898
11356	9045	1292	4788	2965
11357	9722	1673	4583	3466
11358	10542	1354	5306	3882
11361	12064	1472	6308	4284
11362	6192	751	3006	2435
11364	7213	954	3420	2839
11365	12927	1810	6817	4300
11366	7181	762	3778	2641
11367	15240	2306	7866	5068
11368	36798	3828	20367	12603
11369	18725	2108	10886	5731
11370	8306	865	4733	2708
11371	5654	35	2361	3258
11372	35732	4048	19892	11792
11373	38179	3370	23170	11639
11374	14589	1484	8897	4208
11375	24465	2887	13329	8249
11377	34159	4355	18428	11376
11378	13325	1733	7506	4086
11379	6409	920	3560	1929
11385	55298	7065	31879	16354
11386	4016	604	2082	1330
11405	2628	264	1513	851
11411	5358	692	2501	2165
11412	19565	2638	9311	7616
11413	20486	2541	9885	8060
11414	4365	718	2124	1523
11415	2234	366	1187	681
11416	11112	1412	5863	3837
11417	21739	3152	11190	7397
11418	16493	2466	8695	5332
11419	25609	3969	12884	8756
11420	21717	3233	10752	7732
11421	18065	2272	9702	6091
11422	10641	1521	4856	4264
11423	13279	1958	6498	4823
11426	4128	526	2028	1574
11427	7982	1148	3960	2874
11428	1777	264	836	677
11429	17902	2459	8659	6784
11432	33456	4520	18435	10501
11433	31127	4156	15399	11572
11434	26233	3369	13372	9492
11435	23884	3135	11888	8861
11436	17065	1758	8384	6923
11691	35123	5955	18501	10667
11692	13595	2429	6984	4182
11693	1214	199	687	328
11694	12023	2094	6459	3470
11697	644	79	286	279
